community,Incentive Amount,Total Cost,Ratio
NEAR WEST SIDE,34412.5,68825,0.5
BRIDGEPORT,45450,50500,0.9
PORTAGE PARK,50000,77500,0.6451612903225806
AUSTIN,150000,533355,0.28123857468290353
PORTAGE PARK,22004.98,29339.97,0.7500000852079943
ALBANY PARK,3147.13,5885,0.5347714528462192
NEAR NORTH SIDE,150000,368550,0.407000407000407
LOGAN SQUARE,13856.25,18475,0.75
LINCOLN SQUARE,150000,300000,0.5
BELMONT CRAGIN,124740,186188,0.6699679893441038
LOWER WEST SIDE,81969,136615,0.6
PORTAGE PARK,150000,202176,0.7419278252611586
AUSTIN,42432,59576,0.7122331140056398
BELMONT CRAGIN,144100.52,322530,0.4467817567358075
ALBANY PARK,9840,19680,0.5
SOUTH LAWNDALE,81851,179179,0.4568113450795015
GRAND BOULEVARD,150000,232077.7,0.64633525754521
ALBANY PARK,87532.5,346895,0.25233139710863517
NORTH PARK,33880.5,37645,0.9
NORTH CENTER,5800,11600,0.5
WEST TOWN,44054.1,88109.91,0.49999029621072133
PORTAGE PARK,60392.43,80523.24,0.75
NORTH CENTER,81675,117467,0.6953016591893894
IRVING PARK,136845,152050,0.9
PORTAGE PARK,34260.78,45981.04,0.7451066787528077
MCKINLEY PARK,137467.5,274935,0.5
WEST PULLMAN,14208.24,28416.47,0.5000001759542969
NEAR WEST SIDE,150000,255957.35,0.5860351343690657
LINCOLN SQUARE,22550,45100,0.5
MOUNT GREENWOOD,16574.87,33149.75,0.4999998491692999
HERMOSA,76271.25,101695,0.75
WEST TOWN,93000,191949.8,0.4845016770009659
SOUTH CHICAGO,100000,505863,0.1976819810897417
LOGAN SQUARE,15262.5,30752,0.49630918314255984
NEAR WEST SIDE,50000,120000,0.4166666666666667
WEST ELSDON,14258.75,38122.65,0.3740230545358206
AUBURN GRESHAM,100000,403050,0.24810817516437167
MOUNT GREENWOOD,1689.5,3379,0.5
BELMONT CRAGIN,150000,308774.53,0.4857913636853402
WEST RIDGE,47044.26,94088.52,0.5
EDGEWATER,16120,32240,0.5
IRVING PARK,138070.2,276140.4,0.5
SOUTH CHICAGO,100000,139280,0.7179781734635267
ASHBURN,33421.88,44562.5,0.7500001122019635
LINCOLN SQUARE,10133.45,22679,0.44682084748004763
NEW CITY,110802,221604,0.5
EDGEWATER,150000,300000,0.5
UPTOWN,98861.08,131814.77,0.7500000189660082
LOWER WEST SIDE,92150,469820,0.19613894683070113
AUSTIN,31944,65948.21,0.4843800915900522
UPTOWN,24000,70000,0.34285714285714286
NORTH PARK,135929.75,272385,0.4990353727261046
LOGAN SQUARE,50000,120000,0.4166666666666667
MOUNT GREENWOOD,21185.25,28247,0.75
UPTOWN,100000,163000,0.6134969325153374
CHATHAM,30758.96,41251.94,0.7456366900562736
EDGEWATER,50000,154364.3,0.32390909037905785
NEAR WEST SIDE,19316.7,38633.4,0.5
WEST GARFIELD PARK,105111.38,140128,0.7501097567937886
