PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
North Park Auto,Zuheir Brikha,5033,,N,Kedzie,Ave,33,Albany Park,Lawrence/Kedzie,,10/25/2007,Commercial,"Roof, Fence, Parking Lot, HVAC, Storefront, Window, Doors, Sign",2450,4900,,,POINT (-87.708246982 41.972724019)
Sabri Nihari Restaurant,Razia Bano,2500,2502,W,Devon,Ave,50,West Ridge,Devon/Western,10/28/2011,04/18/2012,Commercial,"complete rehab, address range is 2500-2502 W Devon Ave.",150000,301000,16,9,POINT (-87.692564022 41.997946003)
Asiana & Co,Kikon Suh,3312,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,10/20/2005,Commercial,"HVAC, Roof",13850,27000,,,POINT (-87.71150361 41.968487307)
Jane Addams Development Corporation - 4432 N. Ravenswood,Tammy Phillips,4432,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,10/25/2016,11/28/2017,Commercial,"masonry work including parapet wall, flashing, new drip edge and tuck-pointing,",25300,50600,0,55,POINT (-87.674912991 41.962659993)
Lawndale Properties Gimm LLC,James Prybylo,3437,,W,Madison,St,28,East Garfield Park,Midwest,04/12/2011,10/11/2011,Commercial,Address range 3437-3447 W Madison St.,9037.5,12050,,,POINT (-87.712856023 41.880635988)
Lawn Bowling Inc,Richard Supanich,6750,,S,Pulaski,Rd,13,West Lawn,63rd/Pulaski,03/02/2012,02/08/2013,Commercial,,36310.43,48413.91,0,12,POINT (-87.722926041 41.770108986)
"ECARG, Inc. dba Chicagoland Ham- SI",Robert C. Williams,8615,8617,S,Stony Island,Ave,8,Avalon Park,Stony Island/Burnside,08/10/2022,01/26/2023,General Commercial,"HVAC and prep-room flooring, exterior renovations including installation of two (2) double framed aluminum commercial glass windows. Interior renovations including repair of freezers with one condensing unit for walk-in cooler, install two horse trays and new evaporator, relocate condensing unit outside of the west walk-in cooler, reconnect and pressure test; painting of the ceiling, and application of epoxy flooring system",45157.5,50175,1,2,POINT (-87.584939966 41.738245013)
"McCathay Timber, Inc.",Daniel Roach & Kenneth Roach Jr.,1529,,W,Armitage,Ave,2,Logan Square,North Branch (North),12/03/2013,02/07/2017,Commercial,"Tuck-pointing 
Windows, Environmental Remediation",26409.05,54295.36,0,4,POINT (-87.666599987 41.917917981)
Garcia's Resturant Luis Garcia,Noemy Garcia,4760,,N,Lincoln,Ave,47,Lincoln Square,Western Avenue (North),,01/28/2010,Commercial,"Complete Rehab, plumbing, electrical, HVAC, masonry, drywall, floor, roof,",150000,305000,,,POINT (-87.688186713 41.967947591)
"La Fontanella Restaurant, Inc. dba Bacchanalia Restaurant",Paula Bogolin,2413,,S,Oakley,Ave,25,Lower West Side,Pilsen Industrial Corridor,03/18/2014,04/14/2015,Commercial,"the first stages of a complete façade renovation and re-shoring including removal of the existing masonry façade, installing a concrete foundation and footing to shore the new façade, and installation of steel columns for structural support, new insulation behind front façade and all necessary interior drywall, furnish and install new face brick and limestone for façade, provide new steel columns and base plate for window system, provide new storefront system including entry door with transom and new windows, remove and install front sidewalk section in conjunction with facade work, roofing repairs as necessary, provide insulation in basement room, provide wood beam in basement ceiling for support of new façade structure",68058.75,90745,3,8,POINT (-87.682827016 41.847997989)
Uru-Swati Companies LLC,Vishal Cmhabria,2601,,W,Devon,Ave,50,West Ridge,Devon/Western,11/16/2010,12/15/2011,Commercial,"Duct work, Interior renovations,",129423.53,216633.16,24,,POINT (-87.694986978 41.997464002)
International Traditional Karate Association,Mahmoud Bambouyani,5945,,W,Irving Park,Rd,38,Portage Park,West Irving Park,02/24/2021,03/10/2022,Mixed-Use: Retail and Residential,"Carpentry, electrical, foundation repair, plumbing, roofing, solar panels, and tuckpointing, interior renovations including drywall, painting, repair water leaks, refinish stairwell, installation of new HVAC units as needed; and plumbing including piping, drainage, water-proofing, replace one water heater",29250,39000,0,1,POINT (-87.776145007 41.952764989)
"Simply Soups Salads & Sandwiches, Inc.",Anissa Gillispie,635,,E,47th,St,4,Grand Boulevard,43rd/Cottage Grove,02/05/2015,08/24/2016,Commercial,"frame new wall for kitchen expansion; install sixteen (16) recessed can light fixtures and under cabinet lighting and associated electrical; replace drop ceiling panels; millwork to install cabinets and laminate countertop, install pass-through doors and trims; furnish and install new ceramic tile flooring; and painting",16512,22016,2,7,POINT (-87.60995299 41.80931999)
"Asheli, LLC",Dipak Lodhia,7851,,S,Constance,Ave,8,South Shore,Avalon Park/South Shore,06/26/2013,05/09/2014,Commercial,"office build-out: framing and walls, HVAC, plumbing, electrical, insulation, drywall, carpentry, countertops, tile work, carpet, painting",41250,82500,12,0,POINT (-87.57942702 41.751793982)
DANK Haus German American Cultural Center,Monica Jirak,4740,,N,Western,Ave,40,Lincoln Square,Western Avenue (North),11/03/2018,08/14/2019,Commercial,Renovate a storefront to bring it to vanilla box condition to attract a .,100000,290805.55,2,25,POINT (-87.689264988 41.968103997)
House of Styles,Shirley Williams,4750,,W,Madison,Ave,28,Austin,Madison/Austin,12/17/2013,03/02/2015,Commercial,installation of new drywall and new flooring,7500,10000,2,2,POINT (-87.744711809 41.880567304)
"Maracas, Inc.",Raquel Dailey-Parham,4317,,S,Cottage Grove,Ave,4,Kenwood,43rd/Cottage Grove,05/22/2012,04/15/2014,Commercial,", balance of the build-out of the commercial space for restaurant functionality: demolition, concrete floor, plumbing and plumbing fixtures (sinks, hot water heater), grease trap installation, electrical work, lighting, rough and finish carpentry (framing, drywall, doors, trimwork), ADA-required fixtures, painting and staining, bathrooms, tile flooring, and hardwood flooring; complete build-out for a kitchen (cast iron pipes, sinks, hot water tank, steel backdrop, kitchen hood), HVAC, ductwork, fire suppressant system",51290.47,73000,4,0,POINT (-87.606367966 41.816215991)
Clark Glass Company,Zsolt Horoczi,6315,,N,Clark,St,48,Edgewater,Clark/Ridge,02/22/2011,04/06/2012,Commercial,"storefront, siding, roof, gutters,,",21750,29000,1,,POINT (-87.669927016 41.99691)
Grota Restaurant,Grazyna Ciesla,3108,3112,N,Central,Ave,31,Belmont Cragin,Belmont/Central,12/18/2009,02/01/2011,Commercial,"windows, signage, awning, lighting, tuckpointing, floors, HVAC; address range is 3108-3112 N Central Ave.",105750,211500,,,POINT (-87.766766999 41.937144013)
Parkside Industries Corporation,Larry Brown,3692,,N,Milwaukee,Ave,45,Irving Park,Portage Park,02/17/2015,08/04/2015,Industrial,"replace two (2) doorway lintels at northeast elevation including flashings, end dams, weep ropes, and in-kind brick replacement if required; removal of lintel above infilled window at northeast elevation and reset masonry with in-kind brick replacement if required; grinding, tuck pointing, and staining of bricks at facade; remove and replace infill brick at entry",8000,16000,0,7,POINT (-87.738549992 41.947715018)
ADR Enterprises dba Blu Salon & Cut Barbershop,Astor Rogers,1140,,E,87th,St,8,Chatham,Stony Island/Burnside,05/09/2017,07/09/2018,Commercial,"tear-off roof down to existing decking, repair decking as needed, repair roof for proper drainage, install new insulation, cant strip, roof vents, and base underlayment, and finish with new rubber membrane system, new flashings, an aluminum coating, and reinstall coping tiles, exterior waterproofing system including a new drain tile system, sump pump, and concrete work around the building; install one (1) 4’x8’ sign frame (business specific signage expenses not included); HVAC improvements including new mini-split system; electrical work including supply of 120/240, structural support system for sign raceway and junction points, installation of battery backup lights, and smoke detectors.",81167.29,108978.05,6,12,POINT (-87.595934005 41.737127999)
"2255 S. Wabash Ave., LLC",Constance Williams,2255,,S,Wabash,Ave,3,Near North Side,24th/Michigan,11/10/2015,07/01/2016,Commercial,"complete roof tear off over 2 commercial spaces down to the decking, replace any damaged metal and wood decking, masonry work along the parapet wall as needed, install insulation, new flashings, new modified bitumen membrane, new gutters and downspouts, and apply reflective aluminum coating to roofing surface.",78250,156500,0,93,POINT (-87.625423076 41.85134883)
"Chicago Legal Clinic, Inc.",Edward Grossman,2938,,E,91st,St,10,South Chicago,Commercial Avenue,08/04/2015,11/28/2016,Commercial,"masonry repairs on west and north elevations including rebuilding the south end of the west elevation parapet wall, installing new steel lintels, tuckpointing the interior of the parapet, tuckpointing on upper section of north elevation, and restoration of limestone door sills at front entry; roofing repairs to refurbish the existing roofing system including application of an aluminized roof coating",100000,133394,0,10,POINT (-87.552377026 41.730374993)
Idea Furniture Co.,Marek Kowalczyk,6545,,W,Irving Park,Rd,38,Dunning,West Irving Park,04/30/2017,03/20/2018,Commercial,"remove the existing roof and replace with a new TPO flat roof system (demolition; furnish and install new insulation, flashings, TPO membrane, rain water drains, and work to the coping tiles and parapet walls as needed);",100000,148200,0,8,POINT (-87.790588032 41.952518016)
"Chicago True Value Hardware, Inc.",Richard Copeland,3111,,W,111th,St,19,Mount Greenwood,111th/Kedzie,02/27/2012,06/11/2012,Commercial,,23510.25,31347,1,6,POINT (-87.698882971 41.69133301)
Bearings Manufacturing Company,Bruce Hammer,1033,,N,Kolmar,Ave,37,Humboldt Park,Northwest Industrial Corridor,07/24/2018,12/20/2018,Industrial,"Remove all limestone copings from parapet walls (west and south elevations), install flashings, tuck-point joints between copings, install cotton weeps, remove and replace bricks above thirteen (13) windows (east, west, and south elevations), spot-grind and tuck-point all elevations as necessary.",22350,44700,0,12,POINT (-87.739561017 41.899991018)
Kodiak LLC,Sheyanne Mooter,4320,,S,Knox,Ave,22,Garfield Ridge,Midway Industrial Corridor,07/24/2018,01/14/2019,Industrial,"Complete roof replacement on selective portions of the southern and middle sections of the western side of the building: tear off existing roofing, remove and replace clay copings, install new insulation and asphalt roofing membrane, remove and replace gutters and downspouts, and remove and replace skylights and roof drains; and remove and replace existing garage door.",141650,283300,0,15,POINT (-87.739756915 41.814207315)
"Baja Foods, LLC",Arthur Robert Velasquez,636,,W,Root,St,11,New City,Stockyards Annex,08/01/2017,04/06/2018,Industrial,"furnish and install two new front entrance doors, a new receiving area door, and doors for the maintenance room, engineer room, boiler room, and shipping dock areas; remove and replace approx. 1,300 sq. ft. of interior concrete flooring at loading dock area; furnish and install a new energy-efficient 5-ton HVAC system (RTU, ducts, controls) for the break room area; remove and replace the heater, expansion tank, in line pump, and piping for a radiant heating glycol system",49485.4,104100,25,13,POINT (-87.642422974 41.819248019)
MRD Associates Inc,Mohana Dandamudi,1420,,W,Hubbard,St,27,West Town,Kinzie Industrial Corridor,,09/22/2003,Industrial,"Façade/Signs, aumins, roof, HVAC, Evn. Remediation/ Storage rack/ public way exterior enhancement",50000,135000,,,POINT (-87.663237 41.890249989)
"Amzo Zip Mailing Services, Inc. & Landlord",Shirlee Ambroziak,4444,,W,Chicago,Ave,37,Humboldt Park,Northwest Industrial Corridor,10/13/2016,08/15/2017,Industrial,"roofing repairs including install new layer of rubber modified bitumen to existing roofs, repairs to decking as needed, install insulation, new flashings, caulking, gutters, and termination bars, install roofing membrane over concrete decking at stairway to prevent water penetration, install PVC drain system, repair concrete support joist as needed, patch entire parapet wall with concrete, install aluminum capping, and install a protective silver coating; masonry including repair hole in CMU block wall, tuck-pointing as needed, repair firewall  bricks and replace damaged bricks as needed; clean, power-wash and seal wall at parking lot elevation,",99517.5,199035,2,6,POINT (-87.737589007 41.895466005)
"PAK1CP, Inc. / JJ and Atomic Sub","Muhammad Shafqat Rasool (""Chaudhary"")",6454,6458,S,Cottage Grove,Ave,20,Woodlawn,Woodlawn,09/29/2015,08/25/2016,Commercial,"demolish storefront, windows, doors, shutters and steel grates across all three storefronts; install new bronze storefronts systems with new metal paneling, glass windows, and doors; re-finish drywall under overhang at storefront entry and install new porcelain tile at front entry doors; install new plywood for upper facade with metal backing panels to support new masonry veneer system and limestone capping; provide electrical connections for future signage; soft costs and architectural fees.  Address range is 6454-8 S. Cottage Grove Ave.",49081.81,68500,2,4,POINT (-87.606130004 41.77694602)
American Label Mark,Tony Nelson,5724,,N,Pulaski,Rd,39,North Park,Peterson/Pulaski,01/03/2022,02/14/2023,General Industrial,"Lentils, Lighting, replacement of Windows and Glass doors, Fire ventilation, Fire access doors, sprinklers, roofing work including repairs as needed and apply aluminum coating; removal of old lighting fixtures and furnish and install LED lighting fixtures; remove existing brick and corroded steel plates and lintels, replace all lintels and bricks, tuckpoint, and chemically clean new brick; remove all existing aluminum framing and glazing for windows and doors, furnish and install new doors with matching hardware, install new thermal framing and glazing, and install new doors and windows",250000,732789.62,38,230,POINT (-87.72931104 41.985538021)
"Maria Real Estate, Inc.",Maria Medina,10409,,S,Ewing,Ave,10,East Side,Ewing Avenue,06/23/2015,05/05/2016,Commercial,"masonry façade renovations: remove brick veneer on front façade and install new brick with similar color and pattern including flashings, weep cords, and stainless steel drip edges, replace stone copings, sills, and base stones; install new water meter and plumbing fixtures in basement; replace damaged siding in rear of building; replace exterior windows around property; remove and reinstall rubber roofing system including new asphalt shingles and gutters; HVAC improvements including install new furnace, condensing unit, and ductwork; painting and finishing work",37071.16,49545.78,6,3,POINT (-87.534995977 41.706063995)
"4038 N. Milwaukee Mgmt Group, LLC / Community",Quay Tao,4038,,N,Milwaukee,Ave,45,Portage Park,Portage Park,09/18/2013,06/01/2015,Commercial,"demolition, structural reinforcements to flooring and support beams, rough carpentry, rough and finish electrical (including emergency lights and exit signs), rough and finish plumbing (includes adding water service), the balance of renovations for the restaurant build-out at 4038 N. Milwaukee: demolition, structural reinforcements to flooring and support beams, rough carpentry, rough and finish electrical (including emergency lights and exit signs), rough and finish plumbing (includes adding water service), HVAC, kitchen hood and make up air unit, drywall, hardwood flooring, tile work, painting and staining, doors, moldings, trim work, bathroom fixtures, countertops, design guideline compliant facade masonry renovations, new storefront system",100000,225000,22,0,POINT (-87.748845987 41.954019005)
Sang H Han,Sang H Han,5806,,N,Lincoln,Ave,40,West Ridge,Lincoln Avenue,04/18/2011,01/09/2012,Commercial,"Roofing, windows, garage/service door, storefront, plumbing,",28875,38500,,,POINT (-87.701925015 41.986787008)
"Cheddar by Design, Inc. dba Beautiful Rind",Randall Felts,2211,,N,Milwaukee,Ave,1,Logan Square,Fullerton/Milwaukee,10/15/2019,08/24/2020,Mixed-Use: Retail and Residential,"façade improvement including work per plans to create an entry way, new entry door, interior renovations per plans including electrical work including installation of new light fixtures, exit lights, and emergency lighting; new framing, insulation, drywall, doors, ceilings, flooring, counters, and trim as needed; restroom buildout including new framing, drywall, ceiling, exhaust fan, and lighting; HVAC work (install new make-up air unit, exhaust and ductwork), and plumbing including new distribution and plumbing fixtures, gas distribution and water heater; stainless steel RFP panels, grease trap, painting, and architectural services.",50000,280236,9,1,POINT (-87.69451097 41.921528988)
"Jeffery Manor Auto Wash, Inc.",Kenneth Opiela,2544,,E,95th,St,7,Calumet Heights,Commercial Avenue,03/31/2015,12/09/2015,Commercial,"removal of all existing wall and ceiling coverings in car wash tunnel and frame out new structural metal I-beam and columns; install new plastic paneling system over walls and ceiling to prevent moisture seepage and water damage, and reinstall all electrical and gas piping, fixtures, and mechanicals",23868.25,40000,0,7,POINT (-87.56119504 41.722929013)
Paws & Claws Daycare Inc,Cynthia Hannon,5015,,N,Western,Ave,40,Lincoln Square,Western Avenue (North),10/24/2013,10/29/2014,Commercial,"patch exterior walls of garage area and paint; install drywall and paint inside of garage; paint walk way side side of main building; replace window in grooming room; build knee wall with door to separate rooms; demolish receptionist area and patch walls; new door openings for receptionist and animal access; new countertops and cabinets; priming and painting; sand floors and varnish; install new knee wall, wood paneling, baseboards, and new door; new façade windows and siding; new HVAC and associated duct work; and new front doors, incidental roof patching associated with new façade siding and windows",28251.89,37669.19,4,6,POINT (-87.688752016 41.972737011)
"M & M Box Partition Co., Inc.",Joseph Mariella,4141,,W,Grand,Ave,26,Humboldt Park,Pulaski Corridor,11/15/2013,10/22/2014,Industrial,"tuckpointing and masonry repairs to north elevation including caulking above window ledges and above capstone joints, parapet wall repairs, and installation of an 8” wrought iron fence and sliding gate system replacing a chain link system",26668,53336,1,28,POINT (-87.73067796 41.907584016)
T Salon & Gallery,Teresa Sullinger,4705,,N,Damen,Ave,47,Lincoln Square,Western Avenue (North),,05/18/2009,Commercial,"awning, storefront, front door glass",1536.9,3073.8,,,POINT (-87.678721979 41.967102989)
Churchill Associates,Terrence Dowd,350,,N,Ogden,Ave,27,Near West Side,Kinzie Industrial Corridor,03/27/2009,07/10/2010,Landlord,"windows, repair mortar, brickwork, tuck-pointing, and concret spandrels, emergency exit doors, windows, repair mortar, brickwork, tuck-pointing, and concret spandrels, emergency exit doors",150000,590329.8,,,POINT (-87.661685007 41.888171989)
West Loop Eye Care,Helen Tzanetakos,940,,W,Adams,St,25,Near West Side,Central West,08/01/2013,04/10/2014,Commercial,"an office remodel including new carpentry, framing, and drywall, new window openings between office and waiting room, new carpeting and flooring, electrical work including new light fixtures, plumbing fixtures, painting and finishing",40526.25,54035,0,12,POINT (-87.650953375 41.879217314)
Midway Ice Cream,Pat C Gargano,3958,,W,58th,Pl,13,West Elsdon,63rd/Pulaski,,04/17/2007,Commercial,"Fencing, doors, roof, lighting,HVAC, floors",13761.5,27007,,,POINT (-87.722782962 41.78698402)
Safa Moayyed - 2525 W. North Ave.,Safa Moayyed,2525,,W,North,Ave,1,West Town,Humboldt Park,09/24/2012,09/18/2013,Commercial,"removal of old sign, repairs to terracotta stones in entryway, masonry and tuckpointing work, and replacement of steel lintel, roofing work, installation of new awnings and exterior lighting, and installation of security camera system",96631,149815.5,4,3,POINT (-87.690735007 41.909980989)
Jeremy Davenport,Jeremy Davenport,5048,,S,Indiana,Ave,3,Grand Boulevard,47th/King,04/27/2011,05/02/2012,Commercial,"Complete Renovation, ,",96241.66,128322.21,4,2,POINT (-87.621336033 41.802413008)
Martinez Supermarket Inc,Glafira Martinez,3301,,S,Morgan,St,11,Bridgeport,35th/Halsted,10/01/2021,11/21/2022,Retail,"exterior renovations including the installation of a commercial grade exterior renovations including masonry work, replacement of lintel, application of two coats of rust retardant primer and paint, build up two courses of brick at north elevation window to create same the same height as the other existing openings, installation of a new window, the installation of two (2) commercial grade aluminum doors with hardware, epoxy floor finish at entryway including new subflooring and concrete, install commercial vestibule entrance",48145.5,53495,13,8,POINT (-87.650699014 41.834686018)
Flat Enterprises Inc dba Alliance Paper & Food Service,Brian Flynn,913,,W,Randolph,St,27,Near West Side,Kinzie Industrial Corridor,,10/01/2002,Industrial,Façade / Roof / Sign replacement / Window &amp; Door Replacement,34884,70405.5,,,POINT (-87.649196977 41.884675981)
Imax Video,Sergio Arias,3912,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,08/17/2006,Commercial,awning,1535.33,2161,,,POINT (-87.726175034 41.968529002)
Norwood Paper,Laura Martin,7001,,W,60th,St,23,Clearing,Harlem Industrial Corridor,10/30/2012,05/15/2014,Industrial,"repairs to the dock pit, new dock door, installation of high speed automatic doors in warehouse, a heater for the garage, roofing work, installation of dust collection systems, associated electrical work, and office carpeting, installation of 9,000 SF of new TPO roof system with flashings for all vents, drains, AC units and replacement of four skylights, installation of new TPO roof systems including flashings and drainage for over 210,000 SF of warehouse space, and upgrades to loading docks including new huggies and bumpers, dock shelters and leveling of dock pits",150000,300292.2,0,17,POINT (-87.797447028 41.782336003)
Archer Management LLC,Kris Famulski,5838,,S,Archer,Ave,14,GARFIELD RIDGE,Archer/Central,08/04/2022,05/03/2023,General Commercial,"buildout of an office space including new framing, drywall, drop-ceiling, flooring, and painting; electrical upgrades including new outlets, panel boxes, switches, fixtures, and new emergency and exit signs; and plumbing work including demolition of the existing restroom and building out an ADA compliance restroom with associated fixtures.",68204.25,75782.5,5,9,POINT (-87.760193994 41.796345013)
ALR Computing LLC,Arlington Robinson,8040,,S,Kedzie,Ave,18,ASHBURN,79th/Southwest Highway,07/01/2022,07/28/2023,General Commercial,"installation of a new storefront system, masonry work including tuckpointing, and interior renovations including new flooring, interior doors, drywall, framing, drop ceiling tiles, and painting.",40608,45500,5,1,POINT (-87.702634962 41.746754992)
Juan Martinez,Juan Martinez,4545,,S,Ashland,Ave,15,New City,47th/Ashland,10/19/2009,05/18/2011,Commercial,"façade, roof, masonry, electrical, plumbing, HVAC, windows, interior, skylights,",150000,209072.32,,,POINT (-87.664645998 41.81089101)
"Makowski Real Sausage, Inc.",Nicole Makowski,2710,,S,Poplar,Ave,11,Bridgeport,Pilsen Industrial Corridor,08/29/2017,01/08/2018,Industrial,"supported floor structural renovation: demolition, shoring, masonry walls, framing, steel reinforcement, concrete, and piping",150000,316562.5,0,30,POINT (-87.652185963 41.843823004)
Emily Deam C/O A. Saccone & Sons,Emily Deam,4800,4802,N,Milwaukee,Ave,45,Jefferson Park,Jefferson Park,11/06/2018,10/29/2019,Mixed-Use: Retail and Commercial,installation of six (6) new storefront systems including new windows and doors with a dark bronze aluminum finish and associated hardware. Address range: 4800-02 N. Milwaukee Ave & 5338-44 W. Lawrence Ave.,35625,98600,3,15,POINT (-87.761211976 41.967858994)
"Mid-West Wire Specialties, Inc.",Marion Sitkiewicz,4535,4561,W,Cortland,St,36,Hermosa,Northwest Industrial Corridor,10/27/2015,06/16/2016,Industrial,"new roofing at 4535-61 W. Cortland: demolish existing upper and lower roofs; repair/replace roof decking as needed and associated tuck pointing as needed; furnish and install insulation and new roofing systems for upper and lower roof sections (new roofing membranes, new flashings, new curbs, new drains, new vents).  Address range is 4535-61 W. Cortland St.",150000,354028,0,36,POINT (-87.74041002 41.91472699)
"2620 W Fletcher, LLC",Mark Thomas,2620,,W,Fletcher,St,33,Avondale,Addison Corridor (South),07/17/2020,03/12/2021,Mixed-Use: Retail and Commercial,"Rebuild parapet wall along north, east, and west elevations, tuckpointing throughout entire exterior, repair glass blocks, remove and replace ninety-two (92) window panels, removal of beams along north elevation, removal of wooden canopy at north-east corner; roof improvements including installation of new flashing and new silver coating, build saddles to redirect settled water, remove and install nine (9) new drains; and furnish and install new security system.",88710.6,124850,5,4,POINT (-87.693822984 41.938791015)
"3312 S. Halsted, Inc. dba La Mom Kitchen",Nan Luo,3312,,S,Halsted,St,11,Bridgeport,35th/Halsted,09/18/2018,03/29/2021,Mixed-Use: Retail and Residential,"furnish and install a new storefront system (frames, glass, door), build an ADA-accessible ramp at front entry; construct new brick knee wall and install limestone sills at façade; install new support column in basement and new I-beam for kitchen area; plumbing improvements (rough in new underground plumbing per plans; furnish and install washroom plumbing fixtures; furnish and install a new hot water heater; labor only to install plumbing fixtures in restaurant/kitchen areas); electrical system improvements (upgrade to 3-phase service; furnish and install new electrical conduits and wiring; furnish and install new outlets, switches, exit signage, and can lighting); HVAC system improvements (furnish and install new 5-ton RTU; new ductwork; new ventilation hood in kitchen; new exhaust fans); level out concrete floor in kitchen area; close the rear garage and window openings with brick and glass block; tuck point interior masonry at rear/kitchen area; frame and drywall new partition walls; furnish and install new interior doors; painting, tile flooring installation, and wood flooring installation.",100000,450170.83,20,12,POINT (-87.646506972 41.834383012)
Krzysztof Dental,Augustyn,6033,,W,Belmont,Ave,36,Belmont Cragin,Belmont/Central,,08/18/2004,Commercial,Parking Lot / HVAC / Front Door,4050,8100,,,POINT (-87.777522992 41.938259016)
Richard Hae Dong Park,Richard Hae Dong Park,3142,3148,W,Cermak,Rd,24,South Lawndale,Ogden/Pulaski,09/28/2011,09/14/2012,Commercial,Address range is 3142-3148 W Cermak Rd.,150000,222150,,,POINT (-87.704559028 41.852054997)
Lynn Basa,Lynn Basa,2912,,N,Milwaukee,Ave,35,Avondale,Fullerton/Milwaukee,,11/16/2009,Landlord,"roofing,, attic remodel, HVAC, electrical, water heater",118976.44,237952.88,,,POINT (-87.715951962 41.934016013)
Ken Sakamoto DDS PC,Ken Sakamoto DDS PC,3939,,N,Lincoln,Ave,47,North Center,Western Avenue (South),08/27/2010,12/27/2010,Commercial,HVAC,5913,7884,0,2,POINT (-87.677900972 41.953490987)
"Empire Cooler Service, Inc.",Richard Klaskin,940,,W,Chicago,Ave,27,West Town,River West,08/21/2010,09/14/2011,Commercial,"Replace Interior and Exterior Staircase Rehab Parking Lot Implement Energy Improvement Plan Replace Air Conditioner, Remodel Woman's Basement &amp; Customer Main Floor Restoroom Install Large Sign on roof,",39077.7,78155.4,,,POINT (-87.651676958 41.896407298)
Michelle Lytle Photography,Michelle Lytle,5517,,N,Broadway,Ave,48,Edgewater,Bryn Mawr Broadway,05/25/2021,12/10/2021,Mixed-Use: Retail and Residential,"Tuckpointing, repair masonry on building on the North facing wall",12045,16474.4,2,1,POINT (-87.659462964 41.982343007)
Gus Berthold Electric Co,Roderick Berthold,1900,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,09/27/2016,09/06/2017,Industrial,"furnish and install an HVAC unit (new 7 ½ ton rooftop unit with associated duct work, venting, and wiring); demolition of existing concrete slab at dock leveler, raise and stabilize the concrete slab by drilling holes in the concrete and injecting high density foam, provide 5” concrete slab with wire mesh reinforcement and provide concrete wall for dock leveler, and install a 10’ hydraulic dock lever at loading dock; remove and replace two (2) torsion springs and six (6) ball-bearing door rollers on the overhead doors;  masonry work including tuck-pointing at all elevations, replace bricks as needed at south elevation, remove and replace sealants at window sills and limestone copings as needed; sprinkler system upgrades including replacement of sprinkler heads, install new brass upright sprinkler heads under mezzanine, provide a new six-head emergency spare sprinkler head cabinet with six (6) assorted sprinkler heads, replace riser water gauge, and replace cap to fire department connection on east side of building; and asbestos abatement",77149.47,154298.93,0,30,POINT (-87.674872003 41.887991988)
Carmela Aiello,Carmela Aiello,4358,4366,N,Elston,Ave,39,Irving Park,Lawrence/Pulaski,07/25/2019,02/20/2020,Mixed-Use: Retail and Residential,"work to be performed at 4362-66 N. Elston Ave. includes tear off of existing roofing materials, replace decking as needed, eliminate unnecessary skylights and vents, installation of insulation, torched modified bitumen membrane roofing system, flashing, vents, and apply non-fiber roof coating on entire roof, installation of new gutter box and downspout, and removal of front sign, and masonry work including removal of cracked plaster re-plaster the area and paint entire wall with exterior masonry paint; work to be performed at 4358 N. Elston Ave. includes masonry work including demolish the upper portions of chimney, rebuild using common brick, and installation of concrete caps to seal them and tuck-pointing as needed; replacement of existing shingles on mansard-style roof system on front elevation with new shingles, install new aluminum soffit, and HVAC work including a new 5 ton unit with all associated connections.",60267,80356,16,7,POINT (-87.728463964 41.959840992)
Amero Building Restoration Inc.,Roberto Carlos Lopez,1310,,N,Cicero,Ave,37,Austin,Northwest Industrial Corridor,06/04/2017,12/19/2018,Commercial,"removal of the existing roofing system and replacement with new insulation, new flashings along the parapet walls, installation of new metal copings, the application of aluminum coating, and new gutters and downspouts.
, removal of the existing roofing system and replacement with new insulation, new flashings along the parapet walls, installation of new metal copings, and the application of an aluminum coating with new gutters and downspout, masonry work including dismantling and rebuilding of the parapet wall, and tuckpointing along the north and west elevations; and the installation of new façade windows.",90000,120000,3,7,POINT (-87.74635103 41.904574997)
Sharpe Tax Advisors,Vincent Sharpe,4151,,N,Western,Ave,47,North Center,Western Avenue (South),,08/28/2006,Commercial,interior and ext. renovations,50000.2,75820,,,POINT (-87.688201995 41.957345992)
"Central Chapel, P.C.",Robert Moynihan,6158,,S,Central,Ave,13,Clearing,Archer/Central,08/04/2015,03/13/2017,Commercial,"demolish existing doors and replace with four (4) new commercial door systems; furnish and install seven (7) new window systems for the commercial portion of the property only
, furnish and install structural frameworks for four (4) straight-style canvas awnings (business-specific elements of awnings not included)",46733.78,69413,1,10,POINT (-87.76207196 41.780013)
La Fiesta Mexican Restaurant,Michael M Grant,3333,,W,111th,St,19,Mount Greenwood,111th/Kedzie,03/29/2010,03/29/2011,Commercial,"Purchase of Adjacent Property, iron fencing",9906,19812,,,POINT (-87.704692971 41.691373997)
