PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
Lake Industrial Park LLC / Austin-Westran LLC,Louis (Gene) Berg,1932,1958,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,07/22/2011,07/06/2012,Industrial,"roofing, concrete, hvac, electric, paint, water, retencion, landscaping; address range is 1932-1958 W Lake St.",150000,398575.38,45,30,POINT (-87.675929967 41.885246999)
"V & N Metal Products, Inc.",Vince Egresits,2320,,W,78th,St,18,Ashburn,Greater Southwest Industrial Corridor (East),04/18/2018,02/05/2019,Industrial,"masonry work including re-building the parapet wall on the south side of the building and tuck-pointing, installation of new modified bitumen membrane roofing system including resealing of flashings, supply and installation of lead flashings at plumbing stacks, fabricate and install 24-gauge gutters and downspouts, and application of new UV protective aluminum coating over roof surface;",34606.5,69213,0,4,POINT (-87.681253984 41.752116015)
"DDS Investing, LLC",Damian Stefanczyk,5233,,W,Belmont,Ave,31,Belmont Cragin,Belmont/Central,11/19/2020,02/11/2022,Mixed-Use: Retail and Residential,"exterior improvements including new aluminum storefront system, tuckpointing, lintel removal and replacement; install new roofing system over existing roof; exterior electrical work including the installation of new light fixtures along the storefronts, new wiring, 20 AMP circuit breaker, and associated connections; and permit fees.",23536.41,31381.88,2,4,POINT (-87.75804303 41.938519986)
Reliable Plating Corp,James Greenwell,1514,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,06/05/2009,Industrial,"Parking lot, security improvements, façade, energy conservation, lighting, landscape, fencing,, electrical panel, sprinklers",143910.49,287820.97,,,POINT (-87.66479867 41.885435028)
Rena Meystel Photography LLC,Rena Meystel,6212,,N,Lincoln,Ave,50,NORTH PARK,Lincoln Avenue,05/19/2023,12/21/2023,Office,complete renovation for a start-up photography Studio,62500,88250,2,1,POINT (-87.714755026 41.99455699)
Martha Dominguez Financial Services Inc.,Martha Dominguez,5062,,S,Archer,Ave,14,Archer Heights,51st/Archer,01/06/2023,03/29/2023,Office,"roofing work, electrical work, plumbing, doors, windows, drywall, painting, and finishing, exterior renovations including storefront system, new exterior lighting fixtures, roof repairs to reframe roof removing existing roof between two structures, install two (two) new skylights, and install new gutters, and installation of glass block window. Interior renovations including new doors and hardware, flooring, cabinetry and countertops; electrical upgrades including low voltage data wiring, outlets switches, conduit, wiring, and smoke detectors; plumbing work including new water lines, piping and connections, drains, vents, hot water heater, and fixtures; HVAC work including a new system with associated ductwork; renovate restrooms; trim work, doors, painting and finishing.",102647.23,114052.48,2,4,POINT (-87.72687199 41.801358984)
Sofy's Beauty Salon,Irma Curiel,4102,,W,Armitage,Ave,35,Hermosa,Armitage/Pulaski,08/18/2015,07/18/2016,Commercial,"New signage, tuckpointing, flooring, new door, lighting, water proofing in basement and new furnace",26775,35700,,1,POINT (-87.729265023 41.917326009)
Slover Linett Strategies,Cheryl Linett,4147,,N,Ravenswood,Ave,47,Lake View,Ravenswood Industrial Corridor,03/25/2011,04/10/2012,Commercial,replacement of windows,20300.57,40601.14,0,15,POINT (-87.673429981 41.957467991)
Estee Bedding Company,Timothy Enright,945,,E,93rd,St,8,Burnside,Stony Island/Burnside,09/08/2014,07/16/2015,Industrial,"furnish and install seventeen (17) new infrared heaters and associated valves, thermostats, and piping work; and remove existing windows and replace with glass block windows, restoration of skylights (remove existing wire glass and clean framing; install new flashings, ridge caps, gable end covers, and polycarbonate panels; caulking and sealing)",95248,190496,0,34,POINT (-87.600262001 41.724785982)
"Airam IL, Inc. / Sabor a Mi, Inc. dba Nana",Omar Solis,3267,,S,Halsted,St,11,Bridgeport,35th/Halsted,09/11/2018,01/09/2019,Commercial,the installation of one (1) new furnace and air conditioning unit along with associated ductwork. This project helped Nana Restaurant to expand their business into the adjacent storefront to provide take-out services to patrons.,9580,22080,5,20,POINT (-87.645842036 41.834549015)
